"listing_id","source_payload_sha256","action","expected_status","new_status","proposed_price_usd","source_currency","canary_category","canary_priority"
"admission_96f063842049aecb5d38e51e34f2510638231223ac7c323c09447cc879cdca58","b301c776e097ff27e433ebc60266e0fdffbd5c2f961f003a380aaffa513db4d8","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","110000","USDT","BREGUET_EXACT_USD","101"
"admission_cf7fc87e7684af1b1a554ee2cf2715356da0dbad5d4db4dd2113dbdc8058a9b1","ee13682420cb6e0fe4e864eb1263842e59b545a1cb47c2898f63c2ba7262e758","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","37000","USDT","BREGUET_EXACT_USD","102"
"admission_71ea5b31537b114137ebc459c75763abf298e61851a2ce242c56fe33aa219076","6dd528766a1db79cffd7f6d4e8446429cf08893f61f9522d66adf2aad4cd2698","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","38000","USDT","BREGUET_EXACT_USD","103"
"admission_ecfbf3a7caa414cde0b78bf7d5c2396029ca71dbd2bf3af5d865ab82607b1d10","91b1d004e9df034bac7286de1886cc7b7c1ab69b9d2c4378cf5722d61a9dfe58","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","13800","USD","BREGUET_EXACT_USD","104"
"admission_aed9144ddcd5efa5a92719d1ca53d25bd9029dfbe6835374ec46b08ea1a100f9","57e3895c0779e10832ae7b65c106f09422aeebd74a647d78ebed84f0dc1d5548","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","18400","USD","BREGUET_EXACT_USD","105"
"admission_9e0362bb623d7a7c0ac5636dc321622f0a82903faf28e1607edce886429d9b2b","60f42bf8210e4841f2ac0e54f3280f3f25530ba0e2c62f62261a04ebc3eb9d0c","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","9100","USD","BREGUET_EXACT_USD","106"
"admission_cb972832338e8b1b80c5692a3aa92d422f3a7289db87aa73e30bed5681540deb","f412f8cbc048269f32896a47c05af33a36059c811901a56ff6327baccc236978","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","12600","USD","BREGUET_EXACT_USD","107"
"admission_6b432fdef4351a91e0ae95ee008c01b451cd8c8574f13210f8320435542a9901","5f61efd5e62d66f4e580cd7387dbee8944de3f338ebfe1e8739f8059a36998db","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","8600","USD","BREGUET_IQR_OUTLIER_COHORT","2"
"admission_76a3083f571435c7be52dc72ee698936dbcd4fcf19192dedca3dddcaaf7e0c97","6f46cdc03e77410ecf839fb266a105abd8c6863eacc6868a2a4cf057b11f5eb7","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","10900","USD","BREGUET_EXACT_USD","109"
"admission_c659475101a14cf6729f11bf8277a931efd636c65bb1df7b461521e787d5066a","499c79bf8d8eaeb3fb05cb260bf3015ec68befb4894da2f47ae47b256ee68b96","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","8500","USD","BREGUET_IQR_OUTLIER_COHORT","2"
